-1	Data:		X-Ray Emission Energies [eV]												Element rjump [??]		Element Absorption Edge Coefficients [eV] (Edge)												Coster-Kronig Coefficients(CK)			Fluorescence Yields (Omega)		
-1	Source:		"Handbook of Chemistry and Physics, 63rd Ed., CRC Press"												??		"Handbook of Chemistry and Physics, 63rd Ed., CRC Press."												"Krause J. Phys. Chem. Ref. Data Vol. 8, No. 2, 1979	p. 307."			"Krause J. Phys. Chem. Ref. Data Vol. 8, No. 2, 1979	p. 307."		
-1			K		L1			L2 		L3		M3	M4	M5																				
0	Element	Mass	Kb	Ka	Lg2	Lb3	Lb4	Lg1	Lb1	Lb2	La1	Mg	Mb	Ma	rjump1	rjump4	K	L1	L2	L3	M1	M2	M3	M4	M5	N1	N2	N3	c12	c13	c23	l1	l2	l3
1	H	1.008	0	0	0	0	0	0	0	0	0	0	0	0	30	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	He	4.003	0	0	0	0	0	0	0	0	0	0	0	0	30	6	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Li	6.939	0	0	0	0	0	0	0	0	0	0	0	0	29	6	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Be	9.012	100	100	0	0	0	0	0	0	0	0	0	0	28	6	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	B	10.81	183	183	0	0	0	0	0	0	0	0	0	0	27	6	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	C	12.011	277	277	0	0	0	0	0	0	0	0	0	0	26.22	6	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	N	14.007	392	392	0	0	0	0	0	0	0	0	0	0	25.76	6	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	O	15.999	525	525	0	0	0	0	0	0	0	0	0	0	24	6	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	F	18.998	677	677	0	0	0	0	0	0	0	0	0	0	19.33	6	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Ne	20.183	858	849	0	0	0	0	0	0	0	0	0	0	19	6	867	45	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
